Time Step,ID,Label (NA),Voxel count (NA),Volume,Surface Area,Volume/Surface Area (interpolated) ,Surface Area (pixel-wise),Volume/Surface Area (pixel-wise),Surface Area X / 2 ,Surface Area Y / 2,Surface Area Z / 2,Surface Area X,Surface Area Y,Surface Area Z,Phi,Theta,Aspect Ratio (NA),Center Of Mass X,Center Of Mass Y,Center Of Mass Z,Min Location X,Min Location Y,Min Location Z,Max Location X,Max Location Y,Max Location Z,Min Feret Diameter,Mean Feret Diameter,Max Feret Diameter,Min Ortho Feret Diameter,Min Ortho/Max Feret Diameter (NA)
0,21,1,118,640.1348087,372.0780604,1.720431482,543.3824722,1.178055682,77.18501025,101.8842135,92.6220123,154.3700205,203.7684271,185.2440246,84.12091214,-0.573684024,0.725519287,923.6687542,799.5847347,291.3063331,916.32765,795.08775,285.52875,930.38445,803.87325,296.07135,8.785456885,12.45050489,14.8459034,10.22437343,0.688699984
0,20,2,22,119.3471677,126.6359026,0.942443377,191.4188254,0.623487097,24.69920328,30.8740041,40.13620533,49.39840656,61.7480082,80.27241066,71.38282299,-1.622603092,0.536771192,925.1930182,797.2441909,282.9729682,921.59895,793.33065,280.25745,928.62735,800.35905,285.52875,5.271285772,7.244070078,8.951615641,6.29530727,0.703259336
0,19,3,86,466.5389284,333.2015144,1.400170492,493.9840656,0.94444125,80.27241066,89.53461189,77.18501025,160.5448213,179.0692238,154.3700205,60.95006868,-34.41252871,0.669417461,919.6988302,789.9594698,286.9793791,914.57055,784.54515,282.01455,925.11315,796.84485,292.55715,9.552049927,11.44971467,13.14489841,11.37174272,0.865106931
0,18,4,181,981.9016981,518.3560044,1.89426126,771.8501025,1.2721404,126.5834168,126.5834168,132.7582176,253.1668336,253.1668336,265.5164353,79.01274293,-26.82315302,0.702857762,917.4586011,791.5492807,299.7068967,911.05635,784.54515,294.31425,925.11315,800.35905,306.61395,12.23451782,14.6957156,17.38828852,12.41902658,0.714217881
0,17,5,249,1350.792944,640.419467,2.109231548,981.7933304,1.375842453,154.3700205,166.7196221,169.8070226,308.740041,333.4392443,339.6140451,50.69093142,-75.39312036,0.776199045,923.3736916,803.2416819,305.4884181,916.32765,795.08775,297.82845,932.14155,810.90165,311.88525,13.64632539,15.4011436,17.57079939,14.05680086,0.800009183
0,16,6,521,2826.357927,1125.40376,2.511416814,1691.895425,1.670527555,290.2156385,299.4778398,256.254234,580.4312771,598.9556795,512.5084681,88.15984811,-24.02091017,0.701521878,931.293353,813.1629466,294.7240152,918.08475,803.87325,287.28585,940.92705,821.44425,306.61395,17.20945279,21.77108883,23.89910616,18.03781892,0.754748684
0,15,7,946,5131.928212,1698.755628,3.020992618,2488.44473,2.062303474,379.7502504,419.8864558,444.585659,759.5005009,839.7729115,889.1713181,76.26127052,164.6665951,0.69413421,929.0564093,810.7642024,276.5315064,914.57055,796.84485,266.20065,940.92705,819.68715,287.28585,21.0852013,25.53565583,29.92005,21.66018455,0.72393544
0,14,8,634,3439.368379,1303.312122,2.638944518,1963.586661,1.751574528,348.8762463,308.740041,324.1770431,697.7524927,617.480082,648.3540861,69.77251437,132.405842,0.620810878,916.5105658,798.8098088,271.6465514,905.78505,788.05935,262.68645,926.87025,809.14455,283.77165,16.92069556,22.70752792,26.64494036,17.07366439,0.640784485
0,13,9,2918,15829.77434,3603.193872,4.393261895,5328.853108,2.9705781,1046.628739,781.1123037,836.6855111,2093.257478,1562.224607,1673.371022,89.23913269,-73.85362549,0.702702248,901.6692931,786.8315478,283.0418333,886.45695,770.48835,264.44355,914.57055,809.14455,301.34265,28.07226554,36.70481493,39.64201068,28.15019465,0.710110163
0,12,10,5548,30097.18575,5921.720434,5.082507033,8768.217164,3.432531972,1769.080435,1287.445971,1327.582176,3538.16087,2574.891942,2655.164353,37.48503442,-42.44348223,0.711815946,898.2388312,798.1006001,312.4024353,881.18565,774.00255,287.28585,923.35605,819.68715,334.72755,34.95580691,47.00948173,54.3428959,35.22192927,0.648142295
0,11,11,8740,47413.37482,7733.385382,6.130998582,11583.92634,4.09303145,1969.761462,2117.956681,1704.245026,3939.522923,4235.913363,3408.490053,29.81119145,-15.35426521,0.655691356,914.8556264,833.3028656,315.5464111,888.21405,809.14455,287.28585,940.92705,851.31495,343.51305,38.41191082,54.62553094,61.25701363,42.2125865,0.689106177
0,10,12,11861,64344.39802,10017.15708,6.423419092,14807.17237,4.345488553,2513.143934,2587.241544,2303.200706,5026.287867,5174.483087,4606.401412,75.64365586,23.05457689,0.661842795,926.606485,845.9443215,276.7932476,889.97115,817.93005,250.38675,951.46965,867.12885,313.64235,49.19880303,65.36013313,71.00444516,46.31024975,0.652216205
0,9,13,19420,105350.9999,14110.14541,7.46632985,21198.09122,4.969834256,3834.551309,3501.112065,3263.382233,7669.102618,7002.22413,6526.764467,51.2829053,-165.8022027,0.599636657,912.0585846,828.7444486,240.2309472,872.40015,789.81645,204.70215,946.19835,860.10045,278.50035,53.01058625,71.57032332,84.80314605,55.01565304,0.648745425
0,8,14,25586,138800.7561,16509.58656,8.407282371,24402.81284,5.687899873,4912.054052,3612.25848,3677.093888,9824.108105,7224.516959,7354.187777,44.63034064,119.7645269,0.680933965,877.9307641,791.9989871,240.3636022,846.04365,754.67445,204.70215,911.05635,833.74395,278.50035,62.07196774,78.9616205,95.03511629,60.97522364,0.641607292
0,7,15,40855,221633.1153,26040.20021,8.51119091,37839.17942,5.857238944,8638.546347,4850.306044,5430.737321,17277.09269,9700.612088,10861.47464,62.20968908,78.54751371,0.626181373,846.7041914,772.8001913,282.966773,817.93005,724.80375,222.27315,882.94275,833.74395,327.69915,65.01271855,105.2541538,118.4313875,67.06081587,0.566241917
0,6,16,74163,402324.7273,40960.76971,9.822196462,58876.72582,6.833340708,14168.08048,7826.560039,7443.722389,28336.16096,15653.12008,14887.44478,57.97008411,-114.3790509,0.620580933,839.5685032,800.8499685,344.767788,802.11615,728.31795,282.01455,896.99955,854.82915,406.76865,84.22302692,113.438511,135.7390971,86.07374524,0.634111668
0,5,17,102950,558490.4963,52316.07713,10.67531296,76135.29411,7.335500608,17622.88154,11448.08072,8996.684795,35245.76308,22896.16144,17993.36959,7.033050008,-122.6782484,0.640737376,869.6744348,867.5120668,368.3171406,819.68715,803.87325,283.77165,932.14155,912.81345,436.63935,100.6390598,139.6981786,155.1857324,102.4396696,0.660110102
0,4,18,147126,798139.6091,66725.49353,11.96153924,96771.47845,8.247674024,21617.97767,13550.6004,13217.16116,43235.95534,27101.2008,26434.32231,50.77963261,45.83865233,0.589327778,906.4015267,924.663013,320.6322583,826.71555,851.31495,252.14385,965.52645,991.88295,417.31125,113.1550902,162.7315258,180.2897038,110.1124486,0.61075284
0,3,19,185753,1007686.111,78596.61294,12.82098647,112640.7166,8.946020072,25211.71175,14492.25752,16616.38901,50423.4235,28984.51505,33232.77801,85.74460182,-135.1949307,0.58408894,926.9761804,936.2050394,235.8738918,833.74395,847.80075,169.56015,986.61165,1009.45395,315.39945,137.8858226,161.9015681,201.8802729,130.3908768,0.64588221
0,2,20,284850,1545274.579,115495.682,13.37950087,168071.9035,9.194127907,30028.05639,21161.04241,32846.85296,60056.11278,42322.08482,65693.70592,45.25308176,-142.0344207,0.521389094,905.0381483,890.421149,152.750122,814.41585,791.57355,57.10575,984.85455,990.12585,289.04295,124.9275196,202.4683598,250.7257697,135.3124396,0.539683016
